,price,city,address,bedrooms,batrooms,houseSize
65,"$459,000","Jollyville, Austin, TX",13303 Briar Hollow Dr,4bd,3ba,"2,338 sqft"
66,"$12,000","Galindo, Austin, TX",1301 W Oltorf St #12,2bd,2ba,939 sqft
67,"$469,900","Westgate, Austin, TX",5006 Buffalo Pass,3bd,2ba,"1,624 sqft"
68,"$660,000","Allandale, Austin, TX",3107 Silverleaf Dr,3bd,2ba,"1,985 sqft"
69,"$599,950","Austin, TX",15305 Whistling Straits Dr,5bd,3ba,"2,965 sqft"
70,"$425,000","Austin, TX",2804 Tinmouth St,4bd,3ba,"2,251 sqft"
71,"$1,050,000","East Cesar Chavez, Austin, TX",1411 Haskell St #1,3bd,4ba,"2,080 sqft"
72,"$513,990+","Austin, TX",Plan 215 in Parten,4bd,3ba,"2,939 sqft"
73,"$317,990","Pflugerville, TX",15008 Forum Ave,3bd,3ba,"2,073 sqft"
74,"$602,990+","Austin, TX",Avalon II Plan in Saratoga Hills,4bd,3ba,"2,967 sqft"
75,"$378,000","Sweetbriar, Austin, TX",814 N Bluff Dr #89,2bd,2.5ba,"1,590 sqft"
76,"$498,990+","Austin, TX",Plan 200 in Highpointe: 80ft. lots,4bd,3ba,"2,976 sqft"
77,"$499,990+","Austin, TX",Plan 204 in Parten,4bd,3ba,"2,943 sqft"
78,"$492,000","MLK, Austin, TX",1180 Sarabeth Way,2bd,2.5ba,"1,373 sqft"
79,"$239,990+","Austin, TX",Rundle Plan in Bradshaw Crossing : Ridgepointe and Cottage Collection,3bd,2ba,"1,266 sqft"
80,"$236,990+","Austin, TX",The Bellvue Plan in Austin's Colony,3bd,2ba,"1,415 sqft"
81,"$575,000","East Oak Hill, Austin, TX",4203 Travis Country Cir,3bd,2ba,"1,976 sqft"
82,"$699,000","Austin, TX",123 Feritti Dr,5bd,4ba,"3,663 sqft"
83,"$1,799,000","Austin, TX",5005 Mantle Dr,5bd,5ba,"4,765 sqft"
84,"$1,210,000","Austin, TX",716 Crestone Stream Dr,5bd,4ba,"4,669 sqft"
85,"$1,599,900","Austin, TX",11519 Musket Rim St,4bd,7ba,"6,111 sqft"
86,"$970,000","Sunset Valley, TX",40 Lovegrass Ln,5bd,4ba,"3,854 sqft"
87,"$1,890,000","Austin, TX",18308 Flagler Dr,5bd,6ba,"8,065 sqft"
88,"$175,000","Austin, TX",13605 Hunters Pass,4bd,4ba,"3,847 sqft"
89,"$582,980","Austin, TX",19105 Fernando Trl,3bd,2ba,"1,872 sqft"
90,"$399,000","Austin, TX",16048 Fontaine Ave,5bd,5ba,"4,788 sqft"
91,"$246,000","Austin, TX",8408 Lakewood Ridge Cv,4bd,3ba,"3,100 sqft"
92,"$750,000","Austin, TX",1099 Big Bill Ct,3bd,4ba,"2,505 sqft"
93,"$360,000","Austin, TX",603 Vendemmia Bnd,4bd,4.5ba,"4,525 sqft"
94,"$331,249","Austin, TX",102 Bella Toscana Ave #1205,2bd,2ba,"1,211 sqft"
95,"$190,000","Austin, TX",225 Golden Bear Dr,4bd,4ba,"2,521 sqft"
96,"$1,325,000","Lakeway, TX",518 Woodside Ter,5bd,6ba,"4,957 sqft"
97,"$325,605","Austin, TX",10913 Charger Way,3bd,2.5ba,"2,082 sqft"
98,"$468,800","Lakeway, TX",2050 Lohmans Spur Rd,3bd,3.5ba,"1,843 sqft"
99,"$380,000","Austin, TX",10807 Cobblestone Ln,3bd,2ba,"1,596 sqft"
