,Address,City,State,Price,SqFt,Beds,Baths
72,Plan 215 in Parten,Austin,TX,"$513,990+","2,939 sqft",4bd,3ba
73,15008 Forum Ave,Austin,TX,"$317,990","2,073 sqft",3bd,3ba
74,Avalon II Plan in Saratoga Hills,Austin,TX,"$602,990+","2,967 sqft",4bd,3ba
75,814 N Bluff Dr #89,Austin,TX,"$378,000","1,590 sqft",2bd,2.5ba
76,Plan 200 in Highpointe: 80ft. lots,Austin,TX,"$498,990+","2,976 sqft",4bd,3ba
77,Plan 204 in Parten,Austin,TX,"$499,990+","2,943 sqft",4bd,3ba
78,1180 Sarabeth Way,Austin,TX,"$492,000","1,373 sqft",2bd,2.5ba
79,Rundle Plan in Bradshaw Crossing : Ridgepointe and Cottage Collection,Austin,TX,"$239,990+","1,266 sqft",3bd,2ba
80,The Bellvue Plan in Austin's Colony,Austin,TX,"$236,990+","1,415 sqft",3bd,2ba
81,4203 Travis Country Cir,Austin,TX,"$575,000","1,976 sqft",3bd,2ba
82,123 Feritti Dr,Austin,TX,"$699,000","3,663 sqft",5bd,4ba
83,5005 Mantle Dr,Austin,TX,"$1,799,000","4,765 sqft",5bd,5ba
84,716 Crestone Stream Dr,Austin,TX,"$1,210,000","4,669 sqft",5bd,4ba
85,11519 Musket Rim St,Austin,TX,"$1,599,900","6,111 sqft",4bd,7ba
86,40 Lovegrass Ln,Austin,TX,"$970,000","3,854 sqft",5bd,4ba
87,18308 Flagler Dr,Austin,TX,"$1,890,000","8,065 sqft",5bd,6ba
88,13605 Hunters Pass,Austin,TX,"$175,000","3,847 sqft",4bd,4ba
89,19105 Fernando Trl,Austin,TX,"$582,980","1,872 sqft",3bd,2ba
90,16048 Fontaine Ave,Austin,TX,"$399,000","4,788 sqft",5bd,5ba
91,8408 Lakewood Ridge Cv,Austin,TX,"$246,000","3,100 sqft",4bd,3ba
92,1099 Big Bill Ct,Austin,TX,"$750,000","2,505 sqft",3bd,4ba
93,603 Vendemmia Bnd,Austin,TX,"$360,000","4,525 sqft",4bd,4.5ba
94,102 Bella Toscana Ave #1205,Austin,TX,"$331,249","1,211 sqft",2bd,2ba
95,225 Golden Bear Dr,Austin,TX,"$190,000","2,521 sqft",4bd,4ba
96,518 Woodside Ter,Austin,TX,"$1,325,000","4,957 sqft",5bd,6ba
97,10913 Charger Way,Austin,TX,"$325,605","2,082 sqft",3bd,2.5ba
98,2050 Lohmans Spur Rd,Austin,TX,"$468,800","1,843 sqft",3bd,3.5ba
99,10807 Cobblestone Ln,Austin,TX,"$380,000","1,596 sqft",3bd,2ba
