,Price (usd),Address,Rooms,Bathrooms,Area (sqrt),Link,typeProperty,yearBuilt,heating,cooling,parking,lot,saleHistory,taxHistory
26,345000,"8606 Piney Creek Bnd, Austin, TX 78745",3,3,1860,https://www.zillow.com/homedetails/8606-Piney-Creek-Bnd-Austin-TX-78745/29501526_zpid/,Single Family,1993,Forced air,Central,2,4835,"['7/29/2020', 'Listed for sale', '$345,000 ', '12/16/2018', 'Listing removed', '$1,795 ', '10/4/2018', 'Listed for rent', '$1,795 ', '7/30/2016', 'Listing removed', '$1,695 ', '1/7/2014', 'Listing removed', '$1,600 ', '12/30/2013', 'Price change', '$950 ', '12/29/2013', 'Listed for rent', '$1,600 ']","['2019', '$6,631 ', '$309,134 ', '2018', '$6,266 ', '$291,025 ', '2017', '$6,266 ', '$283,040 ']"
27,275000,"8801 Milton Lease Dr, Austin, TX 78747",3,3,2068,https://www.zillow.com/homedetails/8801-Milton-Lease-Dr-Austin-TX-78747/80098159_zpid/,Single Family,2009,Forced air,Central,2,4965,"['7/29/2020', 'Listed for sale', '$275,000 ']","['2019', '$4,206 ', '$249,810 ', '2018', '$3,553 ', '$203,616 ', '2017', '$3,553 ', '$185,105 ']"
28,349000,"14412 Ballycastle Trl, Austin, TX 78717",3,3,2035,https://www.zillow.com/homedetails/14412-Ballycastle-Trl-Austin-TX-78717/60335705_zpid/,Single Family,2002,Forced air,Central,2,5357,"['7/29/2020', 'Listed for sale', '$349,000 ', '5/30/2019', 'Listing removed', '$322,900 ', '5/23/2019', 'Listed for sale', '$322,900 ', '11/20/2014', 'Sold', '$240,000 ', '10/22/2014', 'Listed for rent', '$1,650 ', '9/11/2014', 'Listed for sale', '$249,900 ']","['2019', '$7,908 ', '$311,247 ', '2018', '$7,831 ', '$301,385 ', '2017', '$7,831 ', '$297,868 ']"
29,380000,"9408 Tea Rose Trl, Austin, TX 78748",3,2,1748,https://www.zillow.com/homedetails/9408-Tea-Rose-Trl-Austin-TX-78748/29504483_zpid/,Single Family,1996,Forced air,Central,2,9670,"['7/29/2020', 'Listed for sale', '$380,000 ', '7/6/2011', 'Listing removed', '$198,000 ', '5/17/2011', 'Pending sale', '$198,000 ', '5/3/2011', 'Listed for sale', '$198,000 ']","['2019', '$6,134 ', '$338,382 ', '2018', '$5,612 ', '$290,990 ', '2017', '$5,612 ', '$283,950 ']"
30,645000,"2529 Lipizzan Dr, Austin, TX 78732",5,4,3653,https://www.zillow.com/homedetails/2529-Lipizzan-Dr-Austin-TX-78732/70337599_zpid/,Single Family,2006,Forced air,Central,2,10541,"['7/29/2020', 'Listed for sale', '$645,000 ']","['2019', '$12,218 ', '$532,029 ', '2018', '$11,869 ', '$514,096 ', '2017', '$11,869 ', '$500,814 ']"
31,470000,"145 Turks Cap Pass, Austin, TX 78737",3,2,2326,https://www.zillow.com/homedetails/145-Turks-Cap-Pass-Austin-TX-78737/111965924_zpid/,Single Family,2010,Forced air,Central,2,9888,"['7/29/2020', 'Listed for sale', '$470,000 ', '7/11/2017', 'Listing removed', '$389,000 ', '6/13/2017', 'Pending sale', '$389,000 ', '6/6/2017', 'Listed for sale', '$389,000 ', '7/26/2015', 'Listed for sale', '$325,000 ']","['2019', '$9,465 ', '$367,290 ', '2018', '$10,175 ', '$376,160 ', '2017', '$10,203 ', '$351,480 ']"
32,589000,"5907 Trabadora Cv, Austin, TX 78759",4,3,2168,https://www.zillow.com/homedetails/5907-Trabadora-Cv-Austin-TX-78759/29366179_zpid/,Single Family,1991,Forced air,Central,2,9975,"['7/29/2020', 'Listed for sale', '$589,000 ', '4/16/1991', 'Sold', '$137,150 ']","['2019', '$7,202 ', '$449,128 ', '2018', '$7,510 ', '$412,564 ', '2017', '$7,510 ', '$375,058 ']"
33,274900,"5312 Medford Dr, Austin, TX 78723",3,2,1117,https://www.zillow.com/homedetails/5312-Medford-Dr-Austin-TX-78723/29398525_zpid/,Single Family,1963,Forced air,Central,1,10280,"['7/29/2020', 'Listed for sale', '$274,900 ']","['2019', '$5,738 ', '$267,522 ', '2018', '$5,901 ', '$265,205 ', '2017', '$5,901 ', '$266,533 ']"
34,450000,"7302 Eastcrest Dr, Austin, TX 78752",4,2,1318,https://www.zillow.com/homedetails/7302-Eastcrest-Dr-Austin-TX-78752/29416577_zpid/,Single Family,1957,Forced air,Central,1,8189,"['7/29/2020', 'Listed for sale', '$450,000 ']","['2019', '$6,326 ', '$329,643 ', '2018', '$5,500 ', '$304,652 ', '2017', '$5,500 ', '$278,550 ']"
35,300000,"2013 Nestlewood Dr, Austin, TX 78754",3,3,1711,https://www.zillow.com/homedetails/2013-Nestlewood-Dr-Austin-TX-78754/83832442_zpid/,Single Family,2013,Other,Central,2,4399,"['8/10/2013', 'Price change', '$226,048 ', '7/11/2013', 'Price change', '$225,048 ']","['2019', '$5,125 ', '$233,582 ', '2018', '$4,967 ', '$227,598 ', '2017', '$4,967 ', '$222,384 ']"
36,425000,"2804 Tinmouth St, Austin, TX 78748",4,3,2251,https://www.zillow.com/homedetails/2804-Tinmouth-St-Austin-TX-78748/70332517_zpid/,Single Family,2006,Forced air,Central,2,7636,"['7/30/2020', 'Listed for sale', '$425,000 ']","['2019', '$6,377 ', '$336,252 ', '2018', '$6,055 ', '$313,350 ', '2017', '$6,055 ', '$305,204 ']"
37,345000,"5908 Jacob Gln, Austin, TX 78727",3,2,1089,https://www.zillow.com/homedetails/5908-Jacob-Gln-Austin-TX-78727/29447327_zpid/,Single Family,1985,Forced air,Central,2,3963,"['7/30/2020', 'Listed for sale', '$345,000 ']","['2019', '$1,896 ', '$242,424 ', '2018', '$1,605 ', '$211,518 ', '2017', '$1,605 ', '$192,289 ']"
